,0
1021,83
1022,65
1023,66
1024,65
1025,83
1026,81
1027,61
1028,60
1029,44
1030,56
1031,46
1032,69
1033,59
1034,46
1035,20
1036,9
1037,2
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,3
1051,8
1052,37
1053,55
1054,61
1055,70
1056,40
1057,51
1058,52
1059,79
1060,92
1061,96
1062,97
1063,98
1064,77
1065,80
1066,76
1067,59
1068,49
1069,60
1070,53
1071,46
1072,73
1073,57
1074,36
1075,13
1076,4
1077,2
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1
1088,0
1089,1
1090,1
1091,7
1092,20
1093,45
1094,58
1095,83
1096,56
1097,47
1098,50
1099,51
1100,59
1101,72
1102,72
1103,79
1104,86
1105,77
1106,67
1107,49
1108,44
1109,62
1110,49
1111,59
1112,59
1113,50
1114,18
1115,10
1116,1
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,4
1132,12
1133,28
1134,70
1135,83
1136,75
1137,62
1138,47
1139,37
1140,49
1141,51
1142,57
1143,62
1144,63
1145,49
1146,46
1147,50
1148,59
1149,42
1150,63
1151,57
1152,57
1153,34
1154,12
1155,4
1156,2
